iter	Passed	Remaining
406	7222	28270
407	7245	28271
408	7266	28266
409	7286	28256
410	7307	28252
411	7327	28241
412	7345	28224
413	7365	28216
414	7383	28198
415	7400	28180
416	7419	28165
417	7433	28134
418	7449	28110
419	7467	28093
420	7483	28066
421	7499	28044
422	7515	28017
423	7532	27997
424	7547	27968
425	7562	27941
426	7578	27919
427	7594	27895
428	7612	27875
429	7645	27914
430	7679	27954
431	7713	27995
432	7729	27972
433	7748	27957
434	7767	27944
435	7782	27917
436	7799	27897
437	7819	27884
438	7836	27864
439	7854	27848
440	7867	27813
441	7885	27794
442	7911	27807
443	7927	27782
444	7942	27754
445	7957	27724
446	7973	27702
447	7989	27677
448	8005	27653
449	8021	27628
450	8038	27607
451	8057	27595
452	8075	27576
453	8093	27560
454	8124	27586
455	8148	27590
456	8163	27563
457	8182	27548
458	8197	27520
459	8209	27485
460	8225	27460
461	8242	27440
462	8258	27415
463	8273	27388
464	8288	27361
465	8303	27335
466	8319	27311
467	8337	27293
468	8353	27268
469	8369	27244
470	8385	27222
471	8400	27194
472	8415	27169
473	8431	27144
474	8446	27118
475	8463	27096
476	8476	27063
477	8493	27045
478	8510	27025
479	8529	27009
480	8545	26987
481	8563	26970
482	8581	26952
483	8597	26930
484	8613	26906
485	8631	26890
486	8647	26864
487	8663	26843
488	8679	26819
489	8707	26832
490	8738	26854
491	8762	26858
492	8780	26838
493	8793	26809
494	8808	26780
495	8822	26751
496	8835	26720
497	8850	26694
498	8868	26676
499	8886	26659
500	8912	26667
501	8929	26646
502	8945	26622
503	8960	26595
504	8977	26576
505	8994	26556
506	9008	26528
507	9023	26503
508	9040	26480
509	9055	26456
510	9071	26433
511	9087	26410
512	9104	26390
513	9119	26366
514	9135	26341
515	9156	26334
516	9177	26325
517	9198	26315
518	9214	26294
519	9229	26268
520	9244	26242
521	9259	26218
522	9275	26195
523	9292	26176
524	9308	26151
525	9324	26129
526	9339	26103
527	9354	26080
528	9370	26056
529	9385	26031
530	9403	26014
531	9420	25994
532	9435	25971
533	9453	25953
534	9470	25934
535	9487	25912
536	9503	25890
537	9519	25869
538	9534	25843
539	9549	25819
540	9564	25794
541	9577	25765
542	9595	25746
543	9611	25725
544	9627	25701
545	9649	25695
546	9671	25689
547	9687	25667
548	9705	25650
549	9722	25631
550	9742	25619
551	9774	25639
552	9802	25648
553	9821	25634
554	9836	25610
555	9855	25595
556	9870	25570
557	9882	25539
558	9902	25526
559	9917	25501
560	9930	25472
561	9943	25443
562	9957	25416
563	9971	25387
564	9984	25358
565	9999	25334
566	10012	25306
567	10024	25273
568	10038	25245
569	10051	25217
570	10067	25194
571	10083	25172
572	10096	25145
573	10113	25126
574	10129	25102
575	10146	25084
576	10163	25064
577	10179	25043
578	10196	25024
579	10221	25024
580	10249	25033
581	10266	25013
582	10282	24992
583	10299	24973
584	10316	24952
585	10332	24931
586	10349	24911
587	10366	24893
588	10384	24877
589	10402	24860
590	10418	24839
591	10435	24820
592	10450	24796
593	10469	24781
594	10487	24763
595	10503	24743
596	10523	24731
597	10540	24711
598	10560	24699
599	10578	24682
600	10595	24664
601	10615	24652
602	10631	24630
603	10651	24619
604	10670	24603
605	10688	24587
606	10704	24565
607	10720	24544
608	10737	24524
609	10754	24506
610	10771	24487
611	10789	24469
612	10822	24486
613	10855	24505
614	10880	24502
615	10896	24481
616	10917	24470
617	10936	24456
618	10954	24439
619	10974	24426
620	10990	24406
621	11012	24397
622	11029	24378
623	11048	24362
624	11064	24341
625	11081	24322
626	11099	24305
627	11116	24286
628	11132	24265
629	11148	24243
630	11163	24220
631	11180	24200
632	11197	24181
633	11214	24162
634	11234	24149
635	11254	24136
636	11277	24130
637	11303	24130
638	11321	24112
639	11340	24099
640	11360	24085
641	11377	24065
642	11395	24050
643	11412	24029
644	11428	24009
645	11447	23993
646	11462	23969
647	11481	23954
648	11498	23935
649	11515	23917
650	11533	23899
651	11549	23878
652	11567	23860
653	11584	23842
654	11606	23832
655	11631	23830
656	11651	23816
657	11667	23796
658	11685	23778
659	11701	23758
660	11719	23739
661	11740	23729
662	11760	23716
663	11777	23696
664	11793	23674
665	11810	23655
666	11826	23635
667	11844	23618
668	11871	23618
669	11897	23618
670	11929	23628
671	11947	23610
672	11964	23592
673	11981	23572
674	11997	23550
675	12018	23539
676	12034	23518
677	12050	23497
678	12065	23473
679	12082	23454
680	12098	23432
681	12113	23410
682	12128	23387
683	12148	23374
684	12169	23361
685	12186	23341
686	12203	23322
687	12220	23304
688	12239	23287
689	12257	23270
690	12275	23253
691	12294	23238
692	12316	23229
693	12339	23221
694	12361	23212
695	12379	23193
