iter	Logloss
0	0.6842955429
1	0.6717086879
2	0.6585122612
3	0.6500823633
4	0.6409757143
5	0.6325057499
6	0.6234040982
7	0.6181094638
8	0.6064446062
9	0.5980832796
10	0.5928293977
11	0.5886728311
12	0.584072675
13	0.5792107276
14	0.5695087951
15	0.5659157586
16	0.5604934702
17	0.5570020003
18	0.5538631929
19	0.5501187668
20	0.5431312044
21	0.5382044753
22	0.5359125606
23	0.5299022348
24	0.5235727682
25	0.5172649999
26	0.5109731241
27	0.5069141366
28	0.504102039
29	0.5021293319
30	0.4983117563
31	0.4960305556
32	0.4926355487
33	0.4914523249
34	0.4873066103
35	0.4839641705
36	0.4824111378
37	0.4804646456
38	0.4784048661
39	0.4772749121
40	0.4755078902
41	0.4718287348
42	0.4681118683
43	0.4660036755
44	0.4629068922
45	0.4582216323
46	0.4545824339
47	0.4537262279
48	0.451136032
49	0.4485204697
50	0.4472023255
51	0.4459646688
52	0.4448865129
53	0.4441817537
54	0.4427205588
55	0.4405860778
56	0.43913261
57	0.4366572361
58	0.4347483435
59	0.4330519958
60	0.4312879448
61	0.4303705921
62	0.429251426
63	0.4282454764
64	0.4263783807
65	0.4258048148
66	0.4251178065
67	0.4242200793
68	0.4223017713
69	0.4214172584
70	0.4204937989
71	0.4199923759
72	0.4191345676
73	0.4177148493
74	0.4160395722
75	0.4150071047
76	0.4132948328
77	0.4114794127
78	0.4094127953
79	0.4078232723
80	0.4074632529
81	0.4062526467
82	0.4059204952
83	0.4055331679
84	0.4050712382
85	0.4035912157
86	0.4032089784
87	0.402365701
88	0.4020524383
89	0.4014692999
90	0.3998389093
91	0.3990804466
92	0.3982078156
93	0.3974600888
94	0.3966688232
95	0.3961731691
96	0.395238101
97	0.3941656369
98	0.3933168807
99	0.3922560619
100	0.3920280007
101	0.3917478978
102	0.3913359338
103	0.3908328109
104	0.3904571741
105	0.3895344955
106	0.389276752
107	0.3886200624
108	0.388427901
109	0.3874719344
110	0.3868352566
111	0.3861316787
112	0.3856465683
113	0.3850408212
114	0.3845285061
115	0.3843465444
116	0.384129523
117	0.3839068589
118	0.3835998557
119	0.3830865824
120	0.3824655008
121	0.3822753734
122	0.3819812508
123	0.3817919274
124	0.3808827995
125	0.38032112
126	0.3801487404
127	0.3798124793
128	0.3790423519
129	0.3786270974
130	0.3779400458
131	0.3777799572
132	0.3775287572
133	0.3771148982
134	0.3767349712
135	0.3759966806
136	0.3757299547
137	0.3755704
138	0.375431247
139	0.3751480125
140	0.3746568058
141	0.3745330954
142	0.3742460814
143	0.3741172347
144	0.3739920067
145	0.3735986819
146	0.3734702136
147	0.3733684657
148	0.37284092
149	0.3727318577
150	0.3722502281
151	0.3721364007
152	0.3713711712
153	0.3708358488
154	0.370315908
155	0.3702167813
156	0.3700244185
157	0.3699234415
158	0.369514501
159	0.3688512229
160	0.3686706159
161	0.3682093207
162	0.3678873788
163	0.3674923119
164	0.367320338
165	0.3672166969
166	0.367142716
167	0.3667033493
168	0.3664467946
169	0.3663395895
170	0.3662528824
171	0.36590082
172	0.3658080285
173	0.3654961587
174	0.3649059138
175	0.3648281836
176	0.3645430631
177	0.3644513977
178	0.3642252792
179	0.3640361498
180	0.3636823822
181	0.3635860709
182	0.363499303
183	0.3634119239
184	0.3633137555
185	0.3628842393
186	0.3628087968
187	0.3624010731
188	0.3622765622
189	0.3618321203
190	0.3617703275
191	0.3616885415
192	0.361592757
193	0.3614565933
194	0.3612247798
195	0.3611654864
196	0.3610862531
197	0.3610097668
198	0.3609379833
199	0.3608718946
200	0.360798182
201	0.3607185955
202	0.3606596297
203	0.3605915309
204	0.3605131543
205	0.3603578426
206	0.3602962503
207	0.3600292249
208	0.3599639822
209	0.3598941968
210	0.3597935669
211	0.3597037828
212	0.3596187478
213	0.3593232682
214	0.3587054597
215	0.3584458013
216	0.3583995042
217	0.3583314419
218	0.3582611199
219	0.3582146267
220	0.3581399942
221	0.3580885263
222	0.3576155924
223	0.3575593295
224	0.3575038892
225	0.3573758989
226	0.3572191493
227	0.3571516916
228	0.3569699738
229	0.3569011216
230	0.3568464476
231	0.3567304199
232	0.3562984198
233	0.3562495881
234	0.3561980906
235	0.3559600868
236	0.3556297634
237	0.3555718337
238	0.3555195345
239	0.3554690902
240	0.3550987199
241	0.3549445354
242	0.3548962609
243	0.3548452605
244	0.3545544289
245	0.354503166
246	0.3541829261
247	0.3541384331
248	0.3540878038
249	0.3538704746
250	0.3538294201
251	0.3534519749
252	0.3534068726
253	0.3533596458
254	0.3530138743
255	0.3529674057
256	0.3529378015
257	0.3526529036
258	0.3523542477
259	0.3522885268
260	0.3522430883
261	0.3521925735
262	0.3521400661
263	0.3519023637
264	0.3518484008
265	0.3517822539
266	0.3517304972
267	0.3516724659
268	0.3516372078
269	0.3511686298
270	0.3511224142
271	0.3510671372
272	0.3510219584
273	0.3509073363
274	0.350857232
275	0.3506101627
276	0.3505565762
277	0.3505157731
278	0.3504623241
279	0.3504133235
280	0.3503014778
281	0.3502674767
282	0.3502157627
283	0.3501648462
284	0.3501204193
285	0.3500366568
286	0.3499203758
287	0.3497217861
288	0.3496887797
289	0.3496511602
290	0.349445854
291	0.3494081249
292	0.3493725148
293	0.349320772
294	0.3490874504
295	0.3490415862
296	0.3488946214
297	0.3488436335
298	0.348805915
299	0.3487600703
300	0.3487210183
301	0.3486679232
302	0.3486092956
303	0.3485770774
304	0.3485389111
305	0.3484944688
306	0.3484626317
307	0.3483090208
308	0.3482587372
309	0.3482128618
310	0.348178247
